Date;Time;Temp;Indice UV;UV REF;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:00 a. m.;23,94;2680;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:02 a. m.;23,94;3603;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:04 a. m.;23,94;3027;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:06 a. m.;23,94;3051;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:08 a. m.;23,94;3833;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:10 a. m.;23,94;2714;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:12 a. m.;23,94;2919;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:14 a. m.;23,94;3505;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:16 a. m.;23,94;3164;3305,66;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:18 a. m.;23,94;2514;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:20 a. m.;-127;3261;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:22 a. m.;23,94;3608;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:24 a. m.;23,94;2597;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:26 a. m.;23,94;3056;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:29 a. m.;23,94;3754;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:31 a. m.;23,94;2944;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:33 a. m.;-127;2636;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:35 a. m.;23,94;3686;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:37 a. m.;23,94;3027;3305,66;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:39 a. m.;23,94;2617;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:41 a. m.;23,94;3251;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:43 a. m.;23,94;3193;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:45 a. m.;23,94;3032;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:47 a. m.;23,94;3901;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:49 a. m.;23,94;2797;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:51 a. m.;-127;3012;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:53 a. m.;23,94;3930;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:55 a. m.;23,94;2998;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:57 a. m.;23,94;2685;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:33:59 a. m.;23,94;3217;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:01 a. m.;23,94;2548;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:03 a. m.;23,94;3173;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:05 a. m.;23,94;3408;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:07 a. m.;23,94;2436;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:09 a. m.;23,94;3999;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:11 a. m.;23,94;2993;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:13 a. m.;23,94;3525;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:15 a. m.;23,94;2519;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:17 a. m.;-127;3662;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:19 a. m.;23,94;3632;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:21 a. m.;23,94;2451;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:23 a. m.;23,94;3759;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:25 a. m.;23,94;2646;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:27 a. m.;23,94;3081;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:29 a. m.;23,94;4028;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:31 a. m.;23,94;2739;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:33 a. m.;23,94;3061;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:35 a. m.;23,94;3969;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:37 a. m.;23,94;2705;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:39 a. m.;23,94;3046;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:41 a. m.;23,94;3740;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:43 a. m.;23,94;3149;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:45 a. m.;23,94;2558;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:47 a. m.;24;3105;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:49 a. m.;23,94;3486;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:51 a. m.;23,94;2431;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:53 a. m.;23,94;3198;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:34:55 a. m.;23,94;3979;3295,9;;;;;;;;;;;;;;;;;;;;;
